work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,Mid-Level,Full-time,Data Scientist,70000,EUR,79833,Germany,No Remote Work,Germany,LARGE
2020,Senior-Level,Full-time,Machine Learning Scientist,260000,USD,260000,Japan,No Remote Work,Japan,SMALL
2020,Senior-Level,Full-time,Big Data Engineer,85000,GBP,109024,United Kingdom,Partially Remote,United Kingdom,MEDIUM
2020,Mid-Level,Full-time,Product Data Analyst,20000,USD,20000,Honduras,No Remote Work,Honduras,SMALL
2020,Senior-Level,Full-time,Machine Learning Engineer,150000,USD,150000,United States,Partially Remote,United States,LARGE
2020,Entry-Level,Full-time,Data Analyst,72000,USD,72000,United States,Fully Remote,United States,LARGE
2020,Senior-Level,Full-time,Lead Data Scientist,190000,USD,190000,United States,Fully Remote,United States,SMALL
2020,Mid-Level,Full-time,Data Scientist,11000000,HUF,35735,Hungary,Partially Remote,Hungary,LARGE
2020,Mid-Level,Full-time,Business Data Analyst,135000,USD,135000,United States,Fully Remote,United States,LARGE
2020,Senior-Level,Full-time,Lead Data Engineer,125000,USD,125000,New Zealand,Partially Remote,New Zealand,SMALL
2020,Entry-Level,Full-time,Data Scientist,45000,EUR,51321,France,No Remote Work,France,SMALL
2020,Mid-Level,Full-time,Data Scientist,3000000,INR,40481,India,No Remote Work,India,LARGE
2020,Entry-Level,Full-time,Data Scientist,35000,EUR,39916,France,No Remote Work,France,MEDIUM
2020,Mid-Level,Full-time,Lead Data Analyst,87000,USD,87000,United States,Fully Remote,United States,LARGE
2020,Mid-Level,Full-time,Data Analyst,85000,USD,85000,United States,Fully Remote,United States,LARGE
2020,Mid-Level,Full-time,Data Analyst,8000,USD,8000,Pakistan,Partially Remote,Pakistan,LARGE
2020,Entry-Level,Full-time,Data Engineer,4450000,JPY,41689,Japan,Fully Remote,Japan,SMALL
2020,Senior-Level,Full-time,Big Data Engineer,100000,EUR,114047,Poland,Fully Remote,United Kingdom,SMALL
2020,Entry-Level,Full-time,Data Science Consultant,423000,INR,5707,India,Partially Remote,India,MEDIUM
2020,Mid-Level,Full-time,Lead Data Engineer,56000,USD,56000,Portugal,Fully Remote,United States,MEDIUM
2020,Mid-Level,Full-time,Machine Learning Engineer,299000,CNY,43331,China,No Remote Work,China,MEDIUM
2020,Mid-Level,Full-time,Product Data Analyst,450000,INR,6072,India,Fully Remote,India,LARGE
2020,Senior-Level,Full-time,Data Engineer,42000,EUR,47899,Greece,Partially Remote,Greece,LARGE
2020,Mid-Level,Full-time,BI Data Analyst,98000,USD,98000,United States,No Remote Work,United States,MEDIUM
2020,Mid-Level,Full-time,Lead Data Scientist,115000,USD,115000,United Arab Emirates,No Remote Work,United Arab Emirates,LARGE
2020,Executive-Level,Full-time,Director of Data Science,325000,USD,325000,United States,Fully Remote,United States,LARGE
2020,Entry-Level,Full-time,Research Scientist,42000,USD,42000,Netherlands,Partially Remote,Netherlands,LARGE
2020,Senior-Level,Full-time,Data Engineer,720000,MXN,33511,Mexico,No Remote Work,Mexico,SMALL
2020,Entry-Level,Contract,Business Data Analyst,100000,USD,100000,United States,Fully Remote,United States,LARGE
2020,Senior-Level,Full-time,Machine Learning Manager,157000,CAD,117104,Canada,Partially Remote,Canada,LARGE
2020,Mid-Level,Full-time,Data Engineering Manager,51999,EUR,59303,Germany,Fully Remote,Germany,SMALL
2020,Entry-Level,Full-time,Big Data Engineer,70000,USD,70000,United States,Fully Remote,United States,LARGE
2020,Senior-Level,Full-time,Data Scientist,60000,EUR,68428,Greece,Fully Remote,United States,LARGE
2020,Mid-Level,Full-time,Research Scientist,450000,USD,450000,United States,No Remote Work,United States,MEDIUM
2020,Mid-Level,Full-time,Data Analyst,41000,EUR,46759,France,Partially Remote,France,LARGE
2020,Mid-Level,Full-time,Data Engineer,65000,EUR,74130,Austria,Partially Remote,Austria,LARGE
2020,Mid-Level,Full-time,Data Science Consultant,103000,USD,103000,United States,Fully Remote,United States,LARGE
2020,Entry-Level,Full-time,Machine Learning Engineer,250000,USD,250000,United States,Partially Remote,United States,LARGE
2020,Entry-Level,Full-time,Data Analyst,10000,USD,10000,Nigeria,Fully Remote,Nigeria,SMALL
2020,Entry-Level,Full-time,Machine Learning Engineer,138000,USD,138000,United States,Fully Remote,United States,SMALL
2020,Mid-Level,Full-time,Data Scientist,45760,USD,45760,Philippines,Fully Remote,United States,SMALL
2020,Executive-Level,Full-time,Data Engineering Manager,70000,EUR,79833,Spain,Partially Remote,Spain,LARGE
2020,Mid-Level,Full-time,Machine Learning Infrastructure Engineer,44000,EUR,50180,Portugal,No Remote Work,Portugal,MEDIUM
2020,Mid-Level,Full-time,Data Engineer,106000,USD,106000,United States,Fully Remote,United States,LARGE
2020,Mid-Level,Full-time,Data Engineer,88000,GBP,112872,United Kingdom,Partially Remote,United Kingdom,LARGE
2020,Entry-Level,Part-time,ML Engineer,14000,EUR,15966,Germany,Fully Remote,Germany,SMALL
2020,Mid-Level,Full-time,Data Scientist,60000,GBP,76958,United Kingdom,Fully Remote,United Kingdom,SMALL
2020,Senior-Level,Full-time,Data Engineer,188000,USD,188000,United States,Fully Remote,United States,LARGE
2020,Mid-Level,Full-time,Data Scientist,105000,USD,105000,United States,Fully Remote,United States,LARGE
2020,Mid-Level,Full-time,Data Engineer,61500,EUR,70139,France,Partially Remote,France,LARGE
2020,Entry-Level,Full-time,Data Analyst,450000,INR,6072,India,No Remote Work,India,SMALL
2020,Entry-Level,Full-time,Data Analyst,91000,USD,91000,United States,Fully Remote,United States,LARGE
2020,Entry-Level,Full-time,AI Scientist,300000,DKK,45896,Denmark,Partially Remote,Denmark,SMALL
2020,Entry-Level,Full-time,Data Engineer,48000,EUR,54742,Pakistan,Fully Remote,Germany,LARGE
2020,Senior-Level,Freelance,Computer Vision Engineer,60000,USD,60000,Russia,Fully Remote,United States,SMALL
2020,Senior-Level,Full-time,Principal Data Scientist,130000,EUR,148261,Germany,Fully Remote,Germany,MEDIUM
2020,Mid-Level,Full-time,Data Scientist,34000,EUR,38776,Spain,Fully Remote,Spain,MEDIUM
2020,Mid-Level,Full-time,Data Scientist,118000,USD,118000,United States,Fully Remote,United States,MEDIUM
